ID,createTimeISO,commentCount,diggCount,playCount,shareCount,text,webVideoUrl,Split,Video Name,Risky Behavior
"7,33E+18",2024-01-21T15:42:07.000Z,16200,1600000,7700000,27800,,https://www.tiktok.com/@leea.004/video/7326577351385517345,Validation,2-#cry #cigarettesafter #cigarettseaftersxcry #for7377518116093316357.mp4,FALSE
"7,38E+18",2024-06-06T22:18:17.000Z,284,69500,340900,1844,#cry #cigarettesafter #cigarettseaftersxcry #foryou #lucascanu,https://www.tiktok.com/@lucas.canu/video/7377518116093316357,Validation,3-To mark the anniversary of the founding of the P7420839857553034528.mp4,FALSE
"7,42E+18",2024-10-01T16:08:48.000Z,71,1168,45500,121,"To mark the anniversary of the founding of the People's Republic of China, many people laid flowers and cigarettes at a statue of Chairman Mao in Hunan.  But, despite building the world's second-largest economy, China is facing significant challenges. #china #commmunistparty",https://www.tiktok.com/@skynews/video/7420839857553034528,Validation,4-#cigarro #cubana #luxury #luxurylife #poland7012734902961589510.mp4,FALSE
"7,01E+18",2021-09-27T21:53:02.000Z,22,2188,265800,171,#cigarro #cubana #luxury #luxurylife #poland,https://www.tiktok.com/@dawidbajramow/video/7012734902961589510,Validation,5-Kylian Mbappé on Fire Xdd ：DDDD #kylianmbappé  #7086517835597466885.mp4,TRUE
"7,09E+18",2022-04-14T17:48:30.000Z,68,26700,1100000,644,Kylian Mbappé on Fire Xdd :DDDD #kylianmbappé  #Mbape #Foryou #Football #Cigaret #FortniteBoy,https://www.tiktok.com/@just_play_fortnite0/video/7086517835597466885,Validation,6-its unhealthy but damn #fyp #foryoupage #xyzbca 7298830189151259937.mp4,FALSE
7298830189151259937,2023-11-07T21:08:57.000Z,12,5003,110400,308,its unhealthy but damn #fyp #foryoupage #xyzbca #trending #targetaudience #girlblog #teenagegirl #real #relatable #wlw #wlwtiktok #wlwtok #lesbian #lesbiansoftiktok #ilovewomen #sapphic #girlswholikegirls #gf #olderwomen #smoking,https://www.tiktok.com/@l9vepotion/video/7298830189151259937,Validation,7-TikTok video #74208985341210985287420898534121098528.mp4,TRUE
"7,42E+18",2024-10-01T19:56:27.000Z,16,3755,16400,10,,https://www.tiktok.com/@emma_grsl/video/7420898534121098528,Validation,8-We know chronic exposure to inflammation can imp7420922155648470314.mp4,FALSE
"7,42E+18",2024-10-01T21:28:07.000Z,0,9,221,0,We know chronic exposure to inflammation can impact egg and sp3rm quality.  Full video @Andrew Huberman,https://www.tiktok.com/@nataliecrawfordmd/video/7420922155648470314,Validation,9-stop drinking alcohol!7369664349939535147.mp4,FALSE
7369664349939535147,2024-05-16T18:21:52.000Z,48800,4400000,29800000,2300000,stop drinking alcohol!,https://www.tiktok.com/@cherdleys/video/7369664349939535147,Validation,10-This might be the cheesiest thing we’ve ever see7386971293108800776.mp4,FALSE
"7,39E+18",2024-07-02T09:41:25.000Z,5617,836400,25400000,286600,"This might be the cheesiest thing we’ve ever seen! 🤯🧀

What do you think? 🤷🏽‍♂️

With @blogbyhd at @sobremesapk  #fyp #foryou #cheese #foodporn #food ",https://www.tiktok.com/@foodporn/video/7386971293108800776,Validation,11-Don’t let anyone bring you down!  #catsoftiktok 7407915845810162977.mp4,TRUE
