ID,createTimeISO,commentCount,diggCount,playCount,shareCount,text,webVideoUrl,Split,Video Name,Risky Behavior
"7,25E+18",2023-07-05T21:52:34.000Z,421700,2300000,35900000,708600,Did you know about these ? #curiosity #facts #randomfacts #learnontiktok #factsyoudidntknow,https://www.tiktok.com/@alwayscuriouss/video/7252455790680771845,Train,1-Did you know about these ？ #curiosity #facts #ra7252455790680771845.mp4,FALSE
"7,40E+18",2024-07-26T06:30:48.000Z,1073,55100,1200000,8705,#grupolibertad #servirparavivir #4toy5topaso #aa #gran #fraternidad #programa #de #recuper #recuperacion #alcohol #destruye #a #ty #y #a #la #familia,https://www.tiktok.com/@grupolibertadserv/video/7395828208001715462,Train,2-#grupolibertad #servirparavivir #4toy5topaso #aa7395828208001715462.mp4,FALSE
"7,39E+18",2024-07-19T12:36:30.000Z,6619,639400,14400000,51100,لازم نحسب حسابها ✔️,https://www.tiktok.com/@_zh5/video/7393324860778286354,Train,3-لازم نحسب حسابها ✔️7393324860778286354.mp4,FALSE
"7,23E+18",2023-05-11T10:31:55.000Z,54,10100,661300,243,Eto nakahelp sakin 😍 #weightloss #weightlosscheck #bodybuilding #caloriedeficit #fasting #exercise #workout #workoutplan #sexy #bodytransformation #endlessjourney #fyp #fypシ゚viral #foryou #foryoupage #fitness #fitnessmotivation,https://www.tiktok.com/@jocelle_001/video/7231870695477726469,Train,4-Eto nakahelp sakin 😍 #weightloss #weightlosschec7231870695477726469.mp4,FALSE
"7,23E+18",2023-05-09T18:12:36.000Z,26,909,149200,72,sMokEr Girl Lip Be Like😏🔥#browngirl🔥🥵 #naturalbeauty❤️,https://www.tiktok.com/@sabahatkhan7385/video/7231247252486917382,Train,5-sMokEr Girl Lip Be Like😏🔥#browngirl🔥🥵 #naturalbe7231247252486917382.mp4,TRUE
"7,42E+18",2024-09-18T11:11:32.000Z,98,35600,200700,818,,https://www.tiktok.com/@its.cigarette/video/7415939157635255559,Train,6-TikTok video #74159391576352555597415939157635255559.mp4,FALSE
"7,35E+18",2024-03-15T14:25:19.000Z,1867,299800,2400000,8871,heyheyhey guess what!! shoulder workout😎 #gymtok #workout,https://www.tiktok.com/@sophiazipay/video/7346595953501195566,Train,7-heyheyhey guess what!! shoulder workout😎 #gymtok7346595953501195566.mp4,FALSE
"7,42E+18",2024-10-01T19:13:09.000Z,3,146,5267,13,"During the holidays, I stay at home, sleeping upstairs and watching the scenery, cooking and watching TV series downstairs. Half of it is poetry, and half of it is cigarettes.",https://www.tiktok.com/@shahjahan4709/video/7420887367910739243,Train,"8-During the holidays, I stay at home, sleeping up7420887367910739243.mp4",FALSE
7360995121963273505,2024-04-23T09:40:42.000Z,728,159800,783100,57700,#trending #relatable #real #drunktok #drinkingtok #alcohol #alcoholic #blackoutdrunk #drinking #blackout #clubbing #goingout #party #partying #howlifefeels #life #drunkaf #toodrunk #livinglife #dreamlife,https://www.tiktok.com/@eybmk/video/7360995121963273505,Train,9-#trending #relatable #real #drunktok #drinkingto7360995121963273505.mp4,TRUE
"7,27E+18",2023-08-20T14:55:57.000Z,65,8435,639300,1643,Boiled eggs diet #viraltiktok #eggdiet #crew07 #fypシ #dietplanner13,https://www.tiktok.com/@dietplanner13/video/7269418357508541701,Train,10-Boiled eggs diet #viraltiktok #eggdiet #crew07 #7269418357508541701.mp4,FALSE
"7,40E+18",2024-07-25T00:04:07.000Z,4808,304100,7800000,22600,#fyp #gym #gymshark #gymtok #gymrat #gymnastics #gymmotivation #gluteworkout,https://www.tiktok.com/@jr.dksptr/video/7395357478063541510,Train,11-#fyp #gym #gymshark #gymtok #gymrat #gymnastics 7395357478063541510.mp4,FALSE
"7,42E+18",2024-09-28T18:20:04.000Z,497,276200,1200000,6303,ARE YOUR CONVERSATIONS COOL LIKE ARE YOU EVEN INTERESTED #tsoutour #gracieabrams #thesecretofustour #gracieabramstour #blowingsmokegracieabrams,https://www.tiktok.com/@aminaontour/video/7419760438675574058,Train,12-ARE YOUR CONVERSATIONS COOL LIKE ARE YOU EVEN IN7419760438675574058.mp4,FALSE
7166316877713624346,2022-11-15T18:49:43.000Z,89,22200,572300,1545,cigarette kiss? 🫦#chainsawman #akihayakawa #himeno,https://www.tiktok.com/@zaynes__/video/7166316877713624346,Train,13-cigarette kiss? 🫦#chainsawman #akihayakawa #himeno7166316877713624346.mp4,TRUE
